y	H_median	S_median	V_median
3	18.3051	0.5854	0.3294
4	15.5556	0.55	0.2039
3	18.6207	0.5294	0.2039
4	15.5556	0.5962	0.1804
4	18.9474	0.5278	0.1647
2	20	0.4902	0.2275
3	16.1538	0.5455	0.1725
4	25.7143	0.5238	0.0784
4	27.6923	0.5714	0.0667
3	17.6471	0.6327	0.1961
3	21.3333	0.7091	0.2039
4	17.5	0.4146	0.1569
4	16.1538	0.4878	0.1608
4	21.1765	0.4828	0.1255
4	21.1765	0.3595	0.1176
4	18.9474	0.4412	0.1529
4	21.1765	0.3929	0.1373
4	18.9474	0.4839	0.1216
4	22.8571	0.5	0.1216
3	22.5	0.5667	0.1255
4	21.1765	0.4587	0.1255
4	16.3636	0.381	0.0863
4	22.5	0.4444	0.0745
4	25.7143	0.4	0.0706
1	26.6667	0.3913	0.098
4	18.9474	0.5	0.1255
4	26.6667	0.3846	0.0627
4	25.7143	0.4375	0.0706
4	22.5	0.381	0.0863
4	22.5	0.4074	0.0863
4	22.5	0.3478	0.0941
3	21.4286	0.4667	0.1137
4	21.4286	0.3636	0.1059
4	21.4286	0.44	0.0941
4	19.0909	0.4545	0.1569
4	21.4286	0.3529	0.1098
4	15	0.3421	0.1373
4	18.9474	0.3929	0.1176
4	38.75	0.2546	0.0588
4	21.4286	0.4681	0.1294
4	25.7143	0.35	0.0667
4	19.0909	0.4545	0.1412
4	19.0909	0.4409	0.1412
4	21.1765	0.3793	0.1059
3	19.0909	0.5152	0.1412
4	18.9474	0.5588	0.1255
4	16.3636	0.44	0.1176
4	15	0.3784	0.1333
2	26.6667	0.3548	0.1176
3	18.6207	0.4524	0.1804
1	26.25	0.4524	0.1725
4	18.9474	0.4651	0.1686
4	12.4138	0.5175	0.2
4	21.1765	0.4	0.098
4	15	0.4167	0.1412
3	16	0.381	0.1529
4	16.3636	0.3846	0.1255
4	19.0909	0.5556	0.1255
4	21.1765	0.3548	0.1255
4	18.9474	0.4242	0.149
3	19.2	0.4577	0.1686
4	25.7143	0.381	0.0784
4	16.3636	0.5	0.0745
4	26.6667	0.35	0.0667
4	16	0.4444	0.098
4	16.3636	0.4051	0.0863
4	16.3636	0.4444	0.0863
4	12	0.2955	0.1412
4	20	0.4615	0.1059
3	16.9231	0.6071	0.2196
4	22.5	0.4091	0.098
4	22.5	0.3571	0.0745
2	21.4286	0.6471	0.2392
3	18.6207	0.5588	0.1333
4	26.6667	0.2941	0.0824
3	17.5	0.5172	0.1255
4	25.7143	0.4286	0.0784
4	21.4286	0.44	0.102
4	26.6667	0.3913	0.1255
1	27.6923	0.3864	0.1608
4	22.5	0.4118	0.0824
3	26.25	0.4412	0.1255
4	21.4286	0.4211	0.0941
3	26.25	0.5	0.1216
1	60	0.1613	0.1333
4	21.1765	0.4783	0.1098
3	18.6207	0.5532	0.1412
4	21.4286	0.4783	0.0941
4	21.4286	0.45	0.098
4	25.7143	0.4231	0.0824
4	18.9474	0.4857	0.1373
4	26.25	0.4333	0.1137
4	16.3636	0.4583	0.1059
4	21.4286	0.4242	0.0902
4	21.4286	0.5758	0.1216
4	22.5	0.4	0.0667
4	25.7143	0.3333	0.0745
3	12.6316	0.5781	0.2314
3	15.4839	0.5208	0.1882
1	24.5455	0.3585	0.1843
4	21.4286	0.2447	0.1451
4	16	0.5	0.1137
3	18.9474	0.4242	0.1529
4	16.3636	0.3333	0.1137
4	16.3636	0.3027	0.1255
3	16.1538	0.5263	0.1647
4	16.3636	0.44	0.098
4	17.5	0.5789	0.1373
3	15.6522	0.605	0.2118
3	18.9474	0.4804	0.1216
3	15.4839	0.4583	0.1804
1	29.0323	0.4393	0.2275
4	26.6667	0.5152	0.1137
4	16.3636	0.4783	0.098
2	24	0.4468	0.1804
2	16.1538	0.6098	0.149
3	18	0.6531	0.2039
4	21.1765	0.4412	0.1255
4	16	0.5	0.1137
3	15	0.4857	0.1216
4	18.9474	0.3762	0.098
4	18.9474	0.5556	0.1529
1	29.0909	0.4531	0.2392
4	18.6207	0.4065	0.1216
4	16.3636	0.3892	0.1255
1	24.699	0.5575	0.2392
4	16	0.4828	0.1333
4	15.5556	0.3793	0.1569
3	21.2903	0.5227	0.1725
3	16	0.4062	0.1333
4	16	0.4091	0.1373
4	15	0.5	0.1137
3	16.1538	0.5135	0.1569
3	20	0.5306	0.1647
4	19.0909	0.3947	0.1059
3	16.9231	0.6078	0.2
3	17.3684	0.5303	0.2235
3	21.4286	0.4248	0.1608
4	16.3636	0.4	0.1137
3	22.8571	0.5833	0.1765
3	17.5	0.5238	0.1529
4	21.4286	0.4194	0.1216
4	18.9474	0.55	0.1314
4	18.9474	0.475	0.1451
1	34.2857	0.4085	0.2118
3	17.5	0.5128	0.1529
4	16.3636	0.44	0.1098
2	21.2903	0.5439	0.2078
4	16.3636	0.4688	0.1216
3	22.8571	0.5476	0.1569
2	23.4783	0.4316	0.1686
3	21.4286	0.5952	0.1843
4	16.3636	0.4444	0.0863
3	18.6207	0.5319	0.1608
4	18.9474	0.4722	0.1216
4	25.7143	0.3125	0.0745
4	21.4286	0.44	0.1255
2	22.8571	0.5385	0.1451
4	18.9474	0.425	0.1255
3	17.5	0.5	0.149
4	18.9474	0.5259	0.1294
4	16	0.3333	0.1098
4	16	0.4	0.1176
3	19.0909	0.5128	0.1451
4	21.4286	0.4138	0.1059
3	17.5	0.5714	0.1569
4	18.9474	0.3429	0.1216
4	16.3636	0.3929	0.1137
3	19.2	0.5682	0.149
1	35.2941	0.3404	0.1647
3	18.9474	0.5172	0.1176
4	25.7143	0.4	0.0824
2	21.1765	0.5526	0.1373
4	25.7143	0.431	0.0706
4	40	0.2778	0.051
4	16.3636	0.4286	0.0941
4	16.3636	0.3478	0.1137
4	26.6667	0.4706	0.0824
4	25.7143	0.4	0.0784
4	26.6667	0.4074	0.0824
4	26.25	0.5417	0.0941
4	22.5	0.4118	0.0706
3	22.5	0.44	0.102
4	26.6667	0.3889	0.0745
3	22.5	0.4828	0.1098
4	26.6667	0.4375	0.0784
4	21.4286	0.4444	0.102
3	17.5	0.5161	0.1412
4	26.6667	0.4211	0.0784
4	22.5	0.4	0.0824
4	21.4286	0.5	0.0745
4	26.6667	0.3624	0.0569
1	28.4211	0.3402	0.1216
3	18.9474	0.44	0.1098
4	26.6667	0.4167	0.0902
3	17.5	0.4333	0.102
3	22.8571	0.4839	0.1529
1	30	0.38	0.1804
4	19.0909	0.5289	0.1294
4	16.3636	0.3077	0.1059
4	18.9474	0.4839	0.1255
4	18.9474	0.5	0.1333
3	19.2	0.517	0.1569
3	17.5	0.3056	0.1706
4	21.1765	0.4068	0.102
4	16.3636	0.5217	0.0941
2	24	0.5714	0.1882
3	21.1765	0.6047	0.1725
3	17.5	0.4651	0.149
2	26.25	0.4118	0.1255
3	21.1765	0.5385	0.1333
1	26.4	0.5102	0.2078
1	26.8421	0.55	0.2196
4	32.7273	0.3684	0.0706
4	18.9474	0.5	0.1216
1	23.4783	0.4583	0.1804
4	16.3636	0.4872	0.1569
4	26.6667	0.5	0.1098
4	18.9474	0.4643	0.1137
4	17.5	0.4643	0.1333
4	17.5	0.4188	0.1333
1	26.25	0.4524	0.1608
4	17.5	0.4848	0.1529
4	21.4286	0.375	0.1098
4	18.9474	0.4902	0.1294
4	23.4783	0.4894	0.1686
4	16.3636	0.4286	0.1098
4	19.2	0.5	0.1451
4	18.9474	0.4643	0.1176
4	20	0.381	0.1176
2	24	0.5625	0.1922
4	19.0909	0.4503	0.1294
4	21.4286	0.3667	0.102
3	15.5556	0.5714	0.1608
4	22.5	0.4615	0.1569
4	16.3636	0.3929	0.1098
4	19.0909	0.4483	0.1333
4	16.3636	0.4138	0.1176
3	22.8571	0.561	0.1412
3	18.9474	0.5789	0.1294
3	19.2	0.5682	0.1569
3	19.0909	0.5789	0.1686
3	19.0909	0.35	0.1529
3	16.1538	0.5	0.149
4	16.3636	0.4516	0.1059
4	16	0.5	0.0902
4	26.6667	0.3548	0.102
4	16.3636	0.4	0.1137
4	10	0.4737	0.1294
1	32.7273	0.3235	0.1451
2	22.8571	0.5	0.1569
4	17.5	0.5135	0.1529
3	22.2222	0.5918	0.2078
1	26.4	0.4286	0.1569
3	18.6207	0.5455	0.1725
4	19.3674	0.4753	0.1294
4	18.9474	0.4286	0.1216
3	18.6207	0.5686	0.1843
3	17.5	0.3874	0.1373
2	20	0.6429	0.2039
4	15	0.4118	0.1216
2	22.2222	0.5682	0.1922
3	17.5	0.5238	0.1529
3	18.9474	0.5841	0.1569
4	17.5	0.6182	0.1882
3	20	0.3333	0.1686
3	18.6207	0.5689	0.1686
4	12	0.2903	0.1529
4	16	0.4286	0.1255
4	16.5818	0.5128	0.149
4	17.5	0.6552	0.1294
3	12.4138	0.4359	0.1686
3	14.7	0.3012	0.149
1	19.0909	0.617	0.2314
3	16.1538	0.4681	0.1922
3	13.125	0.5357	0.1922
3	11.5385	0.4701	0.1686
1	17.3684	0.4907	0.1843
3	15	0.4054	0.149
2	20	0.5714	0.251
4	12	0.3636	0.1608
3	15	0.4762	0.1608
1	45	0.1065	0.251
1	23.3333	0.4615	0.3098
4	25.7143	0.2692	0.1098
1	34	0.4262	0.2235
2	19.2	0.5385	0.2157
